2021-02-24 00:10:04,966 [INFO ] - [OnSessionStarted] session(20285a15-1d64-4e18-adbb-626c3d6e26e7))
2021-02-24 00:10:39,854 [INFO ] - [projectile] created...
2021-02-24 00:10:53,752 [INFO ] - [projectile x[25.59646], y[34.92907]
2021-02-24 00:10:53,870 [INFO ] - [projectile x[25.93515], y[35.56605]
2021-02-24 00:10:53,870 [INFO ] - [projectile x[26.27329], y[36.202]
2021-02-24 00:10:53,871 [INFO ] - [projectile x[26.61143], y[36.83795]
2021-02-24 00:10:53,871 [INFO ] - [projectile x[26.94956], y[37.4739]
2021-02-24 00:10:53,872 [INFO ] - [projectile x[27.2877], y[38.10984]
2021-02-24 00:10:53,990 [INFO ] - [projectile x[27.62584], y[38.74579]
2021-02-24 00:10:53,990 [INFO ] - [projectile x[27.96411], y[39.38198]
2021-02-24 00:10:53,991 [INFO ] - [projectile x[28.30238], y[40.01817]
2021-02-24 00:10:53,992 [INFO ] - [projectile x[28.64065], y[40.65436]
2021-02-24 00:10:53,992 [INFO ] - [projectile x[28.97891], y[41.29055]
2021-02-24 00:10:53,993 [INFO ] - [projectile] removed...
2021-02-24 00:10:56,349 [INFO ] - [projectile] created...
2021-02-24 00:10:56,456 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:56,456 [INFO ] - [projectile x[15.30894], y[15.55733]
2021-02-24 00:10:56,457 [INFO ] - [projectile x[15.61787], y[16.11467]
2021-02-24 00:10:56,458 [INFO ] - [projectile x[15.92681], y[16.672]
2021-02-24 00:10:56,459 [INFO ] - [projectile x[16.23574], y[17.22933]
2021-02-24 00:10:56,576 [INFO ] - [projectile x[16.54468], y[17.78666]
2021-02-24 00:10:56,576 [INFO ] - [projectile x[16.89476], y[18.41824]
2021-02-24 00:10:56,576 [INFO ] - [projectile x[17.24485], y[19.04981]
2021-02-24 00:10:56,577 [INFO ] - [projectile x[17.59493], y[19.68138]
2021-02-24 00:10:56,578 [INFO ] - [projectile x[17.94502], y[20.31296]
2021-02-24 00:10:56,681 [INFO ] - [projectile x[18.29511], y[20.94453]
2021-02-24 00:10:56,681 [INFO ] - [projectile x[18.60063], y[21.49571]
2021-02-24 00:10:56,684 [INFO ] - [projectile x[18.90616], y[22.04689]
2021-02-24 00:10:56,684 [INFO ] - [projectile x[19.21168], y[22.59807]
2021-02-24 00:10:56,685 [INFO ] - [projectile x[19.51721], y[23.14926]
2021-02-24 00:10:56,786 [INFO ] - [projectile x[19.82273], y[23.70044]
2021-02-24 00:10:56,786 [INFO ] - [projectile x[20.12941], y[24.2537]
2021-02-24 00:10:56,787 [INFO ] - [projectile x[20.43609], y[24.80696]
2021-02-24 00:10:56,788 [INFO ] - [projectile x[20.74277], y[25.36022]
2021-02-24 00:10:56,788 [INFO ] - [projectile x[21.04945], y[25.91348]
2021-02-24 00:10:56,907 [INFO ] - [projectile x[21.35612], y[26.46674]
2021-02-24 00:10:56,907 [INFO ] - [projectile x[21.70708], y[27.09988]
2021-02-24 00:10:56,908 [INFO ] - [projectile x[22.05803], y[27.73302]
2021-02-24 00:10:56,909 [INFO ] - [projectile x[22.40899], y[28.36616]
2021-02-24 00:10:56,910 [INFO ] - [projectile x[22.75994], y[28.9993]
2021-02-24 00:10:57,027 [INFO ] - [projectile x[23.1109], y[29.63243]
2021-02-24 00:10:57,027 [INFO ] - [projectile x[23.46019], y[30.26258]
2021-02-24 00:10:57,028 [INFO ] - [projectile x[23.80948], y[30.89272]
2021-02-24 00:10:57,028 [INFO ] - [projectile x[24.15877], y[31.52286]
2021-02-24 00:10:57,029 [INFO ] - [projectile x[24.50807], y[32.153]
